"År","Produktanvändning (inkl. lösningsmedel)","Avfall (inkl. avlopp)","Arbetsmaskiner","Egen uppvärmning av bostäder <br>och lokaler","El och fjärrvärme","Jordbruk","Inrikes transporter","Industri (energi och processer)"
1990,13,218,99,276,186,322,644,2431
2000,39,184,93,191,52,289,673,2580
2005,49,148,101,98,28,261,721,2651
2010,50,103,94,47,62,253,728,2263
2015,47,67,93,26,13,261,634,2260
2016,48,61,91,25,17,251,602,1598
2017,48,58,97,24,14,257,611,1607
2018,44,55,91,21,15,245,586,1536
2019,42,49,100,19,13,243,579,2144
2020,34,45,108,18,11,246,520,1558
2021,31,40,111,18,23,242,523,1695